location,total_sqft,bath,price,bhk
8th Phase JP Nagar,1240,3,43.5,3
8th Phase JP Nagar,1062,2,42.47,2
8th Phase JP Nagar,1230,2,43.5,3
8th Phase JP Nagar,1455,3,73.31,3
8th Phase JP Nagar,871,2,55,2
8th Phase JP Nagar,1098,2,43.91,2
8th Phase JP Nagar,1800,3,80,3
8th Phase JP Nagar,2700,4,130,4
8th Phase JP Nagar,1080,2,38,2
8th Phase JP Nagar,1059,2,34.5,2
8th Phase JP Nagar,1080,2,35,2
8th Phase JP Nagar,1275,2,41.5,3
8th Phase JP Nagar,1062,2,42.47,2
8th Phase JP Nagar,500,1,31,1
8th Phase JP Nagar,1100,2,35,2
8th Phase JP Nagar,2100,4,92,4
8th Phase JP Nagar,1035,2,39.33,2
8th Phase JP Nagar,909,2,40.9,2
8th Phase JP Nagar,1431.5,3,72.02,3
8th Phase JP Nagar,1900,4,90,3
8th Phase JP Nagar,500,1,30,1
8th Phase JP Nagar,1125,2,36.94,2
8th Phase JP Nagar,1100,2,35,2
8th Phase JP Nagar,1089,2,43.55,2
8th Phase JP Nagar,1605,2,65,3
8th Phase JP Nagar,1504,2,83,3
8th Phase JP Nagar,2600,4,115,4
8th Phase JP Nagar,1368,2,54.71,3
8th Phase JP Nagar,1089,2,43.55,2
8th Phase JP Nagar,1224,2,48.95,3
8th Phase JP Nagar,1513,2,62,2
8th Phase JP Nagar,1298,2,59,2
8th Phase JP Nagar,1006,2,44,2
8th Phase JP Nagar,500,1,33,1
8th Phase JP Nagar,1160,2,95,2
8th Phase JP Nagar,1245,2,59,2
8th Phase JP Nagar,1510,2,80,2
8th Phase JP Nagar,3300,3,165,3
8th Phase JP Nagar,1730,5,75,5
8th Phase JP Nagar,1296,2,51.83,3
8th Phase JP Nagar,1275,3,45,3
8th Phase JP Nagar,1046,2,48,2
8th Phase JP Nagar,1269,2,50.75,3
8th Phase JP Nagar,1408,3,80,3
8th Phase JP Nagar,1500,2,55,3
9th Phase JP Nagar,1005,2,50,2
9th Phase JP Nagar,1890,2,85,3
9th Phase JP Nagar,1100,2,65,2
9th Phase JP Nagar,1080,2,37,2
9th Phase JP Nagar,1035,2,45,2
9th Phase JP Nagar,5000,4,290,4
9th Phase JP Nagar,1164,2,56,2
9th Phase JP Nagar,1005,2,42,2
9th Phase JP Nagar,1127,2,50,2
9th Phase JP Nagar,1005,2,43,2
9th Phase JP Nagar,835,2,37,2
9th Phase JP Nagar,1050,2,39,2
9th Phase JP Nagar,660,2,27,2
9th Phase JP Nagar,600,1,20,1
9th Phase JP Nagar,1466,2,71,2
9th Phase JP Nagar,1890,2,93,3
9th Phase JP Nagar,1079,2,60,2
9th Phase JP Nagar,1480,2,80,2
9th Phase JP Nagar,1200,2,80,2
9th Phase JP Nagar,905,2,32,2
9th Phase JP Nagar,1073,2,52.36,2
9th Phase JP Nagar,1719.3,2,88,3
9th Phase JP Nagar,1780,3,88,3
9th Phase JP Nagar,1300,2,58,3
9th Phase JP Nagar,1522,3,90,3
9th Phase JP Nagar,1571,3,65,3
9th Phase JP Nagar,1900,4,80,4
9th Phase JP Nagar,890,2,45,2
9th Phase JP Nagar,1240,2,39.89,3
9th Phase JP Nagar,5000,4,300,4
9th Phase JP Nagar,1240,2,42.85,3
9th Phase JP Nagar,1050,2,35,2
9th Phase JP Nagar,1331.95,2,69,2
AECS Layout,1100,2,45,2
AECS Layout,1028,2,42,2
AECS Layout,1199,2,65,2
AECS Layout,1080,2,55,2
AECS Layout,1123,2,64,2
AECS Layout,1308,2,60,2
AECS Layout,1005,2,55,2
AECS Layout,2000,3,90,3
Abbigere,985,2,40.39,2
Abbigere,2200,6,68,6
Abbigere,765,2,30,1
Abbigere,880,2,35,2
Abbigere,795,2,32.54,2
Abbigere,1005,2,39.59,2
Abbigere,734,1,19.82,1
Abbigere,1260,2,45,3
Abbigere,1020,2,41.82,2
Abbigere,985,2,40.39,2
Abbigere,2500,6,81,6
Abbigere,795,2,32.54,2
Abbigere,1130,2,46.33,2
Abbigere,795,1,32.6,2
Abbigere,3000,8,150,8
Abbigere,985,2,38.92,2
Abbigere,1000,2,41,2
Abbigere,995,2,40.8,2
Abbigere,1020,2,40.8,2
Akshaya Nagar,1388,2,57,2
Akshaya Nagar,1070,2,54,2
Akshaya Nagar,1280,2,58,2
Akshaya Nagar,1662,3,85.1,3
Akshaya Nagar,1897,3,120,3
Akshaya Nagar,1410,2,75,3
Akshaya Nagar,1360,2,85,3
Akshaya Nagar,1600,2,65,3
Akshaya Nagar,1410,2,80,3
Akshaya Nagar,1662,3,85,3
Akshaya Nagar,1662,3,85.5,3
Akshaya Nagar,1280,2,60,2
Akshaya Nagar,1666,3,95,3
Akshaya Nagar,1575,3,90,3
Akshaya Nagar,1430,2,75,3
Akshaya Nagar,1419,2,73,3
Akshaya Nagar,1280,2,60,2
Akshaya Nagar,1200,2,50,2
Akshaya Nagar,1092,2,60,2
Akshaya Nagar,1690,3,85,3
Akshaya Nagar,1700,3,80,3
Akshaya Nagar,1897,4,93,3
Akshaya Nagar,1884,3,98,3
Akshaya Nagar,1314,2,68.8,2
Akshaya Nagar,1690,3,85,3
Akshaya Nagar,1265,2,67,2
Akshaya Nagar,1126,2,55,2
Akshaya Nagar,2300,4,102,3
Akshaya Nagar,1662,3,90,3
Akshaya Nagar,1420,2,75,3
Akshaya Nagar,1412,2,88,3
Akshaya Nagar,1434,3,84,3
Akshaya Nagar,1890,4,100,3
Akshaya Nagar,2650,3,125,3
Akshaya Nagar,1419,2,87,3
Akshaya Nagar,1300,2,54,2
Akshaya Nagar,1690,3,85,3
Akshaya Nagar,1113,2,52,2
Akshaya Nagar,1820,4,95,3
Akshaya Nagar,1100,2,48,2
Akshaya Nagar,1896,3,102,3
Akshaya Nagar,1300,2,66,2
Akshaya Nagar,1225,2,68,2
Akshaya Nagar,1179,2,51,2
Akshaya Nagar,1421,2,73,3
Akshaya Nagar,1893,4,95,3
Akshaya Nagar,900,2,45,2
Ambalipura,1105,2,75,2
Ambalipura,1800,3,110,3
Ambalipura,1150,2,80,2
Ambalipura,1250,2,66.25,2
Ambalipura,1332,2,79,2
Ambalipura,1730,3,120,3
Ambalipura,3500,3,198,3
Ambalipura,1230,2,66.25,2
Ambalipura,1351,2,77,2
Ambalipura,2550,4,149,4
Ambalipura,1817,3,102,3
Ambalipura,2750,4,142,4
Ambalipura,1303,2,80,2
Ambalipura,1607,2,112,3
Ambalipura,770,1,43.82,1
Ambalipura,1700,2,76,2
Ambalipura,1060,2,58.5,2
Ambalipura,1650,3,100,3
Ambalipura,1607,2,112,3
Ambalipura,1198,2,80,2
Ambedkar Nagar,1935,4,130,3
Ambedkar Nagar,1424,2,90,2
Ambedkar Nagar,2225,4,169,3
Ambedkar Nagar,1862,3,120,3
Ambedkar Nagar,1850,4,139,3
Ambedkar Nagar,1936,4,126,3
Ambedkar Nagar,1862,3,119,3
Ambedkar Nagar,1424,2,90,2
Ambedkar Nagar,2150,4,125,3
Ambedkar Nagar,3530,4,290,4
Ambedkar Nagar,1856,3,120,3
Ambedkar Nagar,1852,3,130,3
Ambedkar Nagar,1850,4,120,3
Ambedkar Nagar,1367,2,86,2
Ambedkar Nagar,3565,4,255,4
Ambedkar Nagar,1409,2,95,2
Ambedkar Nagar,1950,4,120,3
Ambedkar Nagar,1921,4,129,3
Ambedkar Nagar,1920,4,121,3
Ambedkar Nagar,1935,4,125,3
Ambedkar Nagar,1852,4,122,3
Ambedkar Nagar,1950,4,120,3
Ambedkar Nagar,1852,3,125,3
Ambedkar Nagar,1850,4,121,3
Ambedkar Nagar,1425,2,94,2
Ambedkar Nagar,2395,4,150,3
Amruthahalli,900,2,40,2
Amruthahalli,1200,2,55,2
Amruthahalli,1900,3,135,3
Amruthahalli,924,2,45,2
Amruthahalli,900,2,60,2
Amruthahalli,1100,2,45,2
Amruthahalli,1200,2,55,2
Amruthahalli,1350,2,63,3
Amruthahalli,1605,3,65,3
Amruthahalli,1700,3,77,3
Amruthahalli,1450,2,85,3
Amruthahalli,1200,2,55,2
Amruthahalli,1250,2,79,2
Amruthahalli,1190,2,50,2
Amruthahalli,1202,2,65,2
Amruthahalli,1340,2,75,2
Amruthahalli,2650,4,175,3
Amruthahalli,1450,2,90,3
Amruthahalli,1025,2,42,2
Amruthahalli,485,1,19.5,1
Anandapura,1167,2,43.76,2
Anandapura,1000,2,55,2
Anandapura,1141,2,42.79,2
Anandapura,1576,3,59.1,3
Anandapura,1200,2,67,2
Anandapura,1200,2,58,2
Anandapura,1151,2,43.1,2
Anandapura,1141,2,42.75,2
Anandapura,900,2,48,2
Anandapura,1749,4,90,4
Anandapura,1151,2,42.9,2
Anandapura,1576,3,58,3
Anandapura,1250,2,45,2
Anandapura,1151,2,43.16,2
Anandapura,1200,2,58,2
Anandapura,1200,2,66,3
Anandapura,1415,2,74,3
Anandapura,1200,2,50,2
Anandapura,1141,2,50,2
Anandapura,1576,3,58.7,3
Ananth Nagar,500,1,14,1
Ananth Nagar,1100,2,31.5,2
Ananth Nagar,982,2,24.55,2
Ananth Nagar,500,2,14,1
Ananth Nagar,900,2,22.5,2
Ananth Nagar,908,2,26,2
Ananth Nagar,870,2,36,2
Ananth Nagar,937,2,35,2
Ananth Nagar,960,2,37,2
Ananth Nagar,500,1,14,1
Ananth Nagar,1000,2,29.7,2
Ananth Nagar,850,2,25.99,2
Ananth Nagar,902,2,25.26,2
Ananth Nagar,1470,3,54,3
Ananth Nagar,810,2,25.5,2
Ananth Nagar,890,2,27,2
Ananth Nagar,1200,2,36,2
Ananth Nagar,1319,3,37.75,3
Ananth Nagar,1319,3,42,3
Ananth Nagar,1000,2,25,2
Ananth Nagar,902,2,25,2
Ananth Nagar,930,2,25.99,2
Ananth Nagar,1074,2,26.85,2
Ananth Nagar,500,1,14,1
Ananth Nagar,1010,2,38,2
Ananth Nagar,992,2,24.8,2
Anekal,1200,1,36,2
Anekal,656,2,22,2
Anekal,620,2,22,2
Anekal,600,1,16.5,1
Anekal,925,2,40,2
Anekal,530,1,18,1
Anekal,1800,3,68,3
Anekal,1200,1,36,2
Anekal,351,1,16,1
Anekal,1035,2,38.3,2
Anekal,888,2,34,2
Anekal,1200,2,36.1,2
Anekal,700,1,19.4,2
Anekal,1200,1,36,2
Anekal,1200,2,36,4
Anekal,766,2,28,2
Anekal,967,2,45,3
Anekal,620,1,23.5,2
Anekal,1150,3,45,3
Anekal,1200,1,36,2
Anekal,1200,1,36,2
Anekal,400,1,11.5,1
Anekal,456,1,15,1
Anekal,1200,1,36,2
Anekal,1200,1,36,2
Anekal,2400,4,95,3
Anekal,1200,2,36.1,2
Anekal,1200,2,36.1,2
Anekal,680,1,21,2
Anekal,420,1,12.5,1
Anekal,614,1,28,2
Anekal,1140,2,52,2
Anekal,625,1,25,2
Anjanapura,1850,4,86,4
Anjanapura,1070,2,39,2
Anjanapura,1500,3,121,3
Anjanapura,1070,2,37,2
Anjanapura,950,2,40,2
Anjanapura,1280,2,45,3
Anjanapura,710,2,25,2
Anjanapura,1347,2,37.72,3
Anjanapura,950,2,32,2
Anjanapura,1800,4,55,4
Anjanapura,1843,3,87.54,3
Anjanapura,1076,2,30.13,2
Anjanapura,950,2,30,2
Ardendale,1750,3,100,3
Ardendale,3198,4,200,4
Ardendale,2422,4,160,4
Ardendale,1750,3,100,3
Ardendale,3200,4,205,4
Ardendale,1728,3,95,3
Ardendale,2062,3,140,4
Ardendale,1732.46,3,92,3
Ardendale,2062,3,150,4
Ardendale,2800,4,140,4
Ardendale,1224,2,70,2
Ardendale,1777.26,3,105,3
Ardendale,1650,3,82,3
Ardendale,2062,3,140,4
Ardendale,1650,3,82,3
Ardendale,1224,2,67,2
Ardendale,1723,3,95,3
Ardendale,1777.26,3,89,3
Ardendale,1777.26,3,92,3
Arekere,2060,3,140,3
Arekere,920,2,40,2
Arekere,1740,2,95,3
Arekere,1190,2,55,2
Arekere,600,1,28,1
Arekere,2072,3,108,3
Arekere,1100,2,55,2
Arekere,900,2,50,2
Arekere,2710,6,142,4
Arekere,1240,2,60,2
Arekere,900,2,44.5,2
Attibele,450,1,11,1
Attibele,1600,4,52.8,4
Attibele,656,2,25,2
Attibele,400,1,11,1
Attibele,400,1,12,1
Attibele,400,1,14,1
Attibele,500,1,17,1
Attibele,2168,4,95,4
Attibele,395,1,10.25,1
Attibele,420,1,17,1
Attibele,1639,2,40.98,3
Attibele,418,1,12,1
Attibele,1200,2,42,2
Attibele,400,1,10,1
Attibele,695,1,25,2
Attibele,850,1,25,2
Attibele,2400,3,120,3
Attibele,450,1,12.5,1
Attibele,995,1,24.88,2
Attibele,900,1,25,2
Attibele,1174,2,29.35,2
Attibele,782,1,19.55,1
Attibele,1175,2,29.38,2
Attibele,656,2,25,2
Attibele,400,1,11.5,1
Attibele,460,1,13,1
Attibele,418,2,11.5,1
Attibele,1000,2,42,2
Attibele,550,1,11.5,1
Attibele,996,2,24.9,2
Attibele,410,1,10,1
Attibele,1700,3,65,3
Attibele,400,1,10.25,1
Attibele,656,2,25,2
Attibele,1500,3,90,3
Attibele,520,1,15,1
BEML Layout,1060,2,55,2
BEML Layout,2000,3,85,3
BEML Layout,999,2,45,2
BEML Layout,2400,4,225,5
BEML Layout,2000,2,85,3
BEML Layout,1194,2,65,2
BEML Layout,1200,2,67,2
BEML Layout,2400,2,228,2
BEML Layout,2000,3,85,3
BEML Layout,2000,3,85,3
BEML Layout,1194,2,65,2
BTM 2nd Stage,1260,5,185,3
BTM 2nd Stage,950,2,52,2
BTM 2nd Stage,1850,3,170,3
BTM 2nd Stage,1200,2,80,2
BTM 2nd Stage,1274,2,70,2
BTM 2nd Stage,1250,3,50,3
BTM 2nd Stage,1070,2,48,2
BTM 2nd Stage,1280,2,80,2
BTM 2nd Stage,1100,2,70,2
BTM 2nd Stage,1000,2,58,2
BTM 2nd Stage,2990,5,416,5
BTM 2nd Stage,1265,2,55,2
BTM 2nd Stage,2200,3,220,3
BTM 2nd Stage,2780,4,325,3
BTM 2nd Stage,2400,2,360,3
BTM 2nd Stage,965,2,56,2
BTM 2nd Stage,1147,2,75,2
BTM 2nd Stage,1750,3,172,3
BTM 2nd Stage,1400,2,90,2
BTM 2nd Stage,1200,2,70,2
BTM 2nd Stage,1100,2,47,2
BTM 2nd Stage,930,2,46,2
BTM 2nd Stage,1265,2,55,3
BTM 2nd Stage,2500,3,345,3
BTM Layout,1150,2,63,2
BTM Layout,3300,6,165,6
BTM Layout,1450,2,81,3
BTM Layout,1776,2,75,3
BTM Layout,1458,3,79,3
BTM Layout,935,2,51.5,2
BTM Layout,1020,2,46.5,2
BTM Layout,1600,3,112,3
BTM Layout,1300,2,75,3
BTM Layout,1540,2,78,3
BTM Layout,450,1,20,1
BTM Layout,1196,2,56.81,2
BTM Layout,1470,2,99,3
Babusapalaya,1358,2,43.4,3
Babusapalaya,1213,2,41.39,3
Babusapalaya,1611,2,66,3
Babusapalaya,1167,2,39.98,3
Babusapalaya,1675,3,75,3
Babusapalaya,1141,2,46,2
Babusapalaya,1500,2,57,2
Babusapalaya,1453,2,43.59,3
Babusapalaya,1050,2,45,2
Babusapalaya,1141,2,45.9,2
Babusapalaya,1358,2,43.1,3
Babusapalaya,1230,3,53,3
Babusapalaya,1105,2,40,2
Babusapalaya,1410,2,65,3
Babusapalaya,1450,2,55.99,2
Babusapalaya,1100,2,38,2
Babusapalaya,1213,2,36.37,3
Babusapalaya,1061,2,33.84,2
Babusapalaya,1061,2,38.95,2
Babusapalaya,1061,2,34,2
Babusapalaya,1245,2,58,2
Badavala Nagar,1494,2,94.55,3
Badavala Nagar,1274,2,81,2
Badavala Nagar,1842,3,115,3
Badavala Nagar,1494,2,94.55,3
Badavala Nagar,1274,2,81,2
Badavala Nagar,1494,2,94.55,3
Badavala Nagar,1842,3,115,3
Badavala Nagar,1842,3,115,3
Badavala Nagar,1842,3,115,3
Balagere,1210,2,80.9,2
Balagere,1210,2,72,2
Balagere,1205,2,78.5,2
Balagere,790.5,1,41.9,1
Balagere,1145,2,65,2
Balagere,1012,2,54.59,2
Balagere,1020.07,2,68.38,2
Balagere,1205.47,2,81,2
Balagere,1007,2,65,2
Balagere,1205,2,70,2
Balagere,1210,2,74,2
Balagere,1210,2,83,2
Balagere,675,1,45,1
Balagere,656,1,43,1
Balagere,1012,2,54.59,2
Balagere,1012,2,64,2
Balagere,1007,2,62,2
Balagere,1007,2,67,2
Balagere,1007,2,66,2
Balagere,1205,2,63.86,2
Balagere,1012,2,53.58,2
Balagere,645,1,34.18,1
Balagere,1007,2,53,2
Balagere,1210,2,69,2
Balagere,790.5,1,42.295,1
Balagere,1012,2,65,2
Balagere,656,1,38.77,1
Balagere,645,1,39,1
Balagere,645,1,41,1
Balagere,1210,2,82,2
Balagere,656,1,34.77,1
Balagere,1205,2,73.87,2
Balagere,1012,2,70,2
Balagere,1007,2,68,2
Balagere,1205,2,67,2
Balagere,1205,2,79,2
Balagere,1012,2,68,2
Banashankari,1200,2,42,3
Banashankari,1077,2,37.64,2
Banashankari,1470,2,88.64,3
Banashankari,1300,2,75,3
Banashankari,1800,3,115,3
Banashankari,1125,2,63,2
Banashankari,1340,2,53.6,3
Banashankari,1310,2,80,2
Banashankari,2600,4,135,3
Banashankari,1900,2,170,3
Banashankari,1260,2,75,2
Banashankari,1170,2,46.79,2
Banashankari,2500,4,95,4
Banashankari,1350,2,83,3
Banashankari,1425,3,49.88,3
Banashankari,1330,2,78,2
Banashankari,1400,2,78,3
Banashankari,1700,3,125,3
Banashankari,1020,2,40.79,2
Banashankari,1600,2,63.98,2
Banashankari,1041,2,36.44,2
Banashankari,2400,1,200,1
Banashankari,1390,2,86,2
Banashankari,1460,2,70,2
Banashankari,1200,2,60,2
Banashankari,1290,2,80,2
Banashankari,2582,5,250,3
Banashankari,1186,2,65,2
Banashankari,1650,3,101,3
Banashankari,1300,2,55,3
Banashankari,1181,2,75,2
Banashankari,1105,2,90,2
Banashankari,720,1,60,1
Banashankari,1040,2,45,2
Banashankari,1330,2,77,2
Banashankari,1200,2,49,2
Banashankari,1185,2,67,2
Banashankari,1000,2,50,2
Banashankari,1650,3,90.75,3
Banashankari,1650,3,101,3
Banashankari,1310,2,80.43,2
Banashankari,600,1,27,2
Banashankari,1430,2,87.8,2
Banashankari,1020,2,42.83,2
Banashankari,1372,2,48.02,3
Banashankari,1540,3,80,3
Banashankari,1195,2,35.84,2
Banashankari,1683,3,115,3
Banashankari,1800,3,125,3
Banashankari,1175,2,41.13,2
Banashankari,1750,2,89,3
Banashankari,1800,3,175,3
Banashankari,1450,2,50.75,2
Banashankari,1770,3,108,3
Banashankari,1800,3,125,3
Banashankari,1200,2,42,3
Banashankari,1420,3,66,3
Banashankari,1200,3,74.52,3
Banashankari,1100,2,63,2
Banashankari,1020,2,40.79,2
Banashankari,1260,2,75,2
Banashankari,1340,2,53.6,3
Banashankari,1426,3,85,3
Banashankari Stage II,1700,2,150,2
Banashankari Stage II,1200,2,150,4
Banashankari Stage II,1500,2,120,3
Banashankari Stage II,2400,3,510,5
Banashankari Stage II,1240,2,59.52,3
Banashankari Stage II,1250,2,110,2
Banashankari Stage II,1260,2,95,3
Banashankari Stage II,2400,2,300,3
Banashankari Stage II,1400,2,100,2
Banashankari Stage II,2800,3,425,5
Banashankari Stage II,3000,3,450,3
Banashankari Stage II,1200,2,198,3
Banashankari Stage II,1245,2,125,2
Banashankari Stage III,1305,2,58.7,3
Banashankari Stage III,1145,2,58.4,2
Banashankari Stage III,1650,3,118,3
